baby,dclm-1.0,,,,,,
flag,finewiki-0.0.0,deu_Latn,,,,,
flag,finewiki-0.0.0,ell_Grek,,,,,
flag,finewiki-0.0.0,est_Latn,,,,,
flag,finewiki-0.0.0,eus_Latn,,,,,
flag,finewiki-0.0.0,fin_Latn,,,,,
flag,finewiki-0.0.0,fra_Latn,,,,,
flag,finewiki-0.0.0,gle_Latn,,,,,
flag,finewiki-0.0.0,glg_Latn,,,,,
flag,finewiki-0.0.0,hrv_Latn,,,,,
flag,finewiki-0.0.0,hun_Latn,,,,,
flag,finewiki-0.0.0,isl_Latn,,,,,
flag,finewiki-0.0.0,ita_Latn,,,,,
flag,finewiki-0.0.0,lav_Latn,,,,,
flag,finewiki-0.0.0,lit_Latn,,,,,
flag,finewiki-0.0.0,mkd_Cyrl,,,,,
flag,finewiki-0.0.0,mlt_Latn,,,,,
flag,finewiki-0.0.0,nld_Latn,,,,,
flag,finewiki-0.0.0,nor_Latn,,,,,
flag,finewiki-0.0.0,pol_Latn,,,,,
flag,finewiki-0.0.0,por_Latn,,,,,
flag,finewiki-0.0.0,ron_Latn,,,,,
flag,finewiki-0.0.0,slk_Latn,,,,,
flag,finewiki-0.0.0,slv_Latn,,,,,
flag,finewiki-0.0.0,spa_Latn,,,,,
flag,finewiki-0.0.0,sqi_Latn,,,,,
flag,finewiki-0.0.0,srp_Cyrl,,,,,
flag,finewiki-0.0.0,swe_Latn,,,,,
flag,finewiki-0.0.0,tur_Latn,,,,,
flag,finewiki-0.0.0,ukr_Cyrl,,,,,
flag,hplt-4.0,clean/als_Latn,web,als_Latn,2780227610.39687,0.134843705037315,
flag,hplt-4.0,clean/bos_Latn,web,bos_Latn,2993146367.01049,0.282265687290773,
flag,hplt-4.0,clean/bul_Cyrl,web,bul_Cyrl,3941044293.08835,0.0526164644113441,
flag,hplt-4.0,clean/cat_Latn,web,cat_Latn,3530561497.88616,0.0880321338994412,
flag,hplt-4.0,clean/ces_Latn,web,ces_Latn,4429324326.28398,0.0431753139564672,
flag,hplt-4.0,clean/dan_Latn,web,dan_Latn,3109842224.00063,0.0422205862401269,
flag,hplt-4.0,clean/deu_Latn,web,deu_Latn,10850667404.3472,0.0422659465911611,
flag,hplt-4.0,clean/ekk_Latn,web,ekk_Latn,1946978245.57248,0.0491381217622236,
flag,hplt-4.0,clean/ell_Grek,web,ell_Grek,6423390373.79985,0.0608710145918169,
flag,hplt-4.0,clean/eng_Latn/ab/,,,,,
flag,hplt-4.0,clean/eng_Latn/ccc/,,,,,
flag,hplt-4.0,clean/eng_Latn/ia/,,,,,
flag,hplt-4.0,clean/eus_Latn,web,eus_Latn,2408643434.1914,0.87254618179709,
flag,hplt-4.0,clean/fin_Latn,web,fin_Latn,3623713453.90461,0.0487565555051465,
flag,hplt-4.0,clean/fra_Latn,web,fra_Latn,14319810030.1333,0.0481172251084493,
flag,hplt-4.0,clean/gle_Latn,web,gle_Latn,2473133249.89649,2.61140233155348,
flag,hplt-4.0,clean/glg_Latn,web,glg_Latn,2523291995.44488,0.840307921064571,
flag,hplt-4.0,clean/hrv_Latn,web,hrv_Latn,3329926515.69257,0.0910633964280304,
flag,hplt-4.0,clean/hun_Latn,web,hun_Latn,4904296937.19126,0.044631665876195,
flag,hplt-4.0,clean/isl_Latn,web,isl_Latn,2284782042.12291,0.292033446242889,
flag,hplt-4.0,clean/ita_Latn,web,ita_Latn,10347032653.1265,0.0732490440678132,
flag,hplt-4.0,clean/lit_Latn,web,lit_Latn,3064801717.79392,0.0638266233787662,
flag,hplt-4.0,clean/ltg_Latn,web,ltg_Latn,1267238.14811427,0.0665823001765843,
flag,hplt-4.0,clean/lvs_Latn,web,lvs_Latn,2737234399.92682,0.0665936789604493,
flag,hplt-4.0,clean/mkd_Cyrl,web,mkd_Cyrl,2870308622.81032,0.32298850633356,
flag,hplt-4.0,clean/mlt_Latn,web,mlt_Latn,3052517943.47626,3.16984091975694,
flag,hplt-4.0,clean/nld_Latn,web,nld_Latn,6081491985.77608,0.048158058535884,
flag,hplt-4.0,clean/nno_Latn,web,nno_Latn,2041153849.45926,1.66811402813164,
flag,hplt-4.0,clean/nob_Latn,web,nob_Latn,2804795159.23691,0.0629617136162203,
flag,hplt-4.0,clean/pol_Latn,web,pol_Latn,6672136805.80518,0.0486258498038741,
flag,hplt-4.0,clean/por_Latn,web,por_Latn,11596906700.3631,0.0749174924099121,
flag,hplt-4.0,clean/ron_Latn,web,ron_Latn,4997448893.2097,0.0568248935003999,
flag,hplt-4.0,clean/slk_Latn,web,slk_Latn,3351423121.02997,0.0665068508045259,
flag,hplt-4.0,clean/slv_Latn,web,slv_Latn,3042281464.69055,0.0805457907055538,
flag,hplt-4.0,clean/spa_Latn,web,spa_Latn,20866038148.1332,0.0625970799237428,
flag,hplt-4.0,clean/srp_Cyrl,web,srp_Cyrl,3412841993.02769,0.177892126701015,
flag,hplt-4.0,clean/srp_Latn,web,srp_Latn,310258363.002517,0.183262191993359,
flag,hplt-4.0,clean/swe_Latn,web,swe_Latn,4211287330.3287,0.0485308843620273,
flag,hplt-4.0,clean/tur_Latn,web,tur_Latn,5656678120.41721,0.0473540342634757,
flag,hplt-4.0,clean/ukr_Cyrl,web,ukr_Cyrl,4573658675.71917,0.0386939897116232,177564343186.445
flag,hplt-4.0,noisy/als_Latn,,,,,
flag,hplt-4.0,noisy/bos_Latn,,,,,
flag,hplt-4.0,noisy/bul_Cyrl,,,,,
flag,hplt-4.0,noisy/cat_Latn,,,,,
flag,hplt-4.0,noisy/dan_Latn,,,,,
flag,hplt-4.0,noisy/ekk_Latn,,,,,
flag,hplt-4.0,noisy/eus_Latn,,,,,
flag,hplt-4.0,noisy/fin_Latn,,,,,
flag,hplt-4.0,noisy/gle_Latn,,,,,
flag,hplt-4.0,noisy/glg_Latn,,,,,
flag,hplt-4.0,noisy/hrv_Latn,,,,,
flag,hplt-4.0,noisy/isl_Latn,,,,,
flag,hplt-4.0,noisy/lit_Latn,,,,,
flag,hplt-4.0,noisy/ltg_Latn,,,,,
flag,hplt-4.0,noisy/lvs_Latn,,,,,
flag,hplt-4.0,noisy/mkd_Cyrl,,,,,
flag,hplt-4.0,noisy/mlt_Latn,,,,,
flag,hplt-4.0,noisy/nno_Latn,,,,,
flag,hplt-4.0,noisy/nob_Latn,,,,,
flag,hplt-4.0,noisy/ron_Latn,,,,,
flag,hplt-4.0,noisy/slk_Latn,,,,,
flag,hplt-4.0,noisy/slv_Latn,,,,,
flag,hplt-4.0,noisy/srp_Cyrl,,,,,
flag,hplt-4.0,noisy/srp_Latn,,,,,
flag,hplt-4.0,noisy/ukr_Cyrl,,,,,
flag,megamath-0.0.0,,,,,,
flag,mixture-vitae-1.0,,,,,,
flag,nemotron-cc-1.0,high/actual,,,,,
flag,nemotron-cc-1.0,medium-high/actual,,,,,
flag,nemotron-cc-opus-1.1,bos_Latn,mt,bos_Latn,2036147546.10863,0.0205828189057602,
flag,nemotron-cc-opus-1.1,bul_Cyrl,mt,bul_Cyrl,2680974026.16901,0.00924391963889774,
flag,nemotron-cc-opus-1.1,cat_Latn,mt,cat_Latn,2401734913.31349,0.0193137439006478,
flag,nemotron-cc-opus-1.1,ces_Latn,mt,ces_Latn,3013136262.65801,0.013526534867524,
flag,nemotron-cc-opus-1.1,ell_Grek,mt,ell_Grek,4369639484.21054,0.0282039038513793,
flag,nemotron-cc-opus-1.1,est_Latn,mt,est_Latn,682429752.11575,0.00255227795504812,
flag,nemotron-cc-opus-1.1,eus_Latn,mt,eus_Latn,1638527761.96771,0.0160557398654724,
flag,nemotron-cc-opus-1.1,gle_Latn,mt,gle_Latn,1682398246.0323,0.00566925242506117,
